Product ID,Current RMS Name,Website Visible,Website Display Name,Website Department,Website Category,Website Subcategory,Classification Source,Image Status,Description Status,Review Required
1284,16A - IP66 Connector (Q16 Power Connector),Yes,16A - IP66 Connector (Q16 Power Connector),Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
1154,16A - IP66 Connector (Solar Power Connector),Yes,16A - IP66 Connector (Solar Power Connector),Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
43,16a M Ceeform - 15a Adapter Cable,Yes,16a M Ceeform - 15a Adapter Cable,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
19,16a M Ceeform - 2 x 110v Serial Split,Yes,16a M Ceeform - 2 x 110v Serial Split,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
11,16a M Ceeform - Powercon cable,Yes,16a M Ceeform - Powercon cable,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
595,16a M Ceeform -True 1,Yes,16a M Ceeform -True 1,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
170,16amp extension cable. 50m,Yes,16amp extension cable. 50m,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
1236,16A - Prolights IP65,Yes,16A - Prolights IP65,Cable,Other Equipment,Browse All,Fallback,Missing URL,Missing,Yes
49,16a Splitter. Molded 2 way,Yes,16a Splitter. Molded 2 way,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
48,16a Splitter. Molded 3way,Yes,16a Splitter. Molded 3way,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
844,16a Splitter. Molded 3way (copy 20200125100623),No,16a Splitter. Molded 3way (copy 20200125100623),Cable,Other Equipment,Browse All,Fallback,Not published,Missing,Yes
251,16A Step Up 32A,Yes,16A Step Up 32A,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
447,16a T CeeForm- Powercon cable,Yes,16a T CeeForm- Powercon cable,Cable,Other Equipment,Browse All,Fallback,Missing URL,Missing,Yes
267,16A  T CeeForm to 13A 4 Way,Yes,16A  T CeeForm to 13A 4 Way,Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
853,16a T CeeForm- True 1 cable,Yes,16a T CeeForm- True 1 cable,Cable,Other Equipment,Browse All,Fallback,Local image,Present,Yes
130,16A Y-Split (Cable),Yes,16A Y-Split (Cable),Cable,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
365,16A Y Split IEC,Yes,16A Y Split IEC,Cable,Other Equipment,Browse All,Fallback,Missing URL,Missing,Yes
1107,17/19mm Podger,Yes,17/19mm Podger,Misc Items,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
166,1.83m / 6ft Aluminium 48mm Tube (Black),Yes,1.83m / 6ft Aluminium 48mm Tube (Black),Rigging,Pipe & Tube,Black Tube,Rule 80,Local image,Missing,Yes
290,1.83m / 6ft Aluminium 48mm Tube (Silver),Yes,1.83m / 6ft Aluminium 48mm Tube (Silver),Rigging,Pipe & Tube,Silver Tube,Rule 70,Local image,Missing,Yes
234,"18"" Stage Fan - Non Controlled",Yes,"18"" Stage Fan - Non Controlled",Effects & Atmospherics,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
1353,"18"" Stage Fan - Non Controlled (Black)",Yes,"18"" Stage Fan - Non Controlled (Black)",Effects & Atmospherics,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
320,19 Degree Ellipsoidal Lens,Yes,19 Degree Ellipsoidal Lens,Accessories,Other Equipment,Browse All,Fallback,Local image,Missing,Yes
1047,1m 1T Steel Wire Rope PVC Coated,Yes,1m 1T Steel Wire Rope PVC Coated,Rigging,Rigging Hardware,Steels & Slings,Rule 90,Local image,Present,No
611,1m 2T Steel Wire Rope PVC Coated,Yes,1m 2T Steel Wire Rope PVC Coated,Rigging,Rigging Hardware,Steels & Slings,Rule 90,Local image,Present,No
